Model version,ECI Score,Release date,Organization,Country,Model accessibility,Training compute (FLOP),Confidence,Model name,Description,Display name
claude-sonnet-4-20250514_unknown,142.2,2025-05-22,Anthropic,United States of America,API access,,Unknown,Claude Sonnet 4,"Anthropic's mid-sized Claude 4 series model, evaluated at up to 12,000 reasoning tokens.",Claude Sonnet 4 (unknown thinking)
claude-3-7-sonnet-20250219_unknown,141.67,2025-02-24,Anthropic,United States of America,API access,3.3499999999999998e+25,Likely,Claude 3.7 Sonnet,"A previous flagship reasoning model from Anthropic, benchmarked with up to 64,000 reasoning tokens allowed.",Claude 3.7 Sonnet (unknown thinking)
GLM-4.5-Air,,2025-07-20,"Z.ai (Zhipu AI),Tsinghua University",China,Open weights (unrestricted),1.656e+24,Confident,GLM-4.5-Air,"A smaller version of GLM-4.5, Zhipu AI & Tsinghua University's large open source model.",
gemini-2.5-flash-preview-09-2025,143.22,2025-09-25,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash,,
gemini-robotics-er-1.5-preview,,2025-09-26,,,,,Unverified,,,
gemini-2.5-flash-lite-preview-09-2025,,2025-09-25,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash-Lite,,
claude-opus-4-8_medium,157.78,2026-05-28,Anthropic,United States of America,API access,,Confident,Claude Opus 4.8,,Claude Opus 4.8
claude-opus-4-7_medium,155.98,2026-04-16,Anthropic,United States of America,API access,,Likely,Claude Opus 4.7,,Claude Opus 4.7 (medium)
glm-5.2_high,152.14,2026-06-16,Z.ai (Zhipu AI),China,Open weights (unrestricted),,Confident,GLM-5.2,,GLM-5.2
gemini-3.5-flash_unknown,154.45,2026-05-19,Google,United States of America,API access,,Confident,Gemini 3.5 Flash,,Gemini 3.5 Flash
claude-opus-5_xhigh,161.54,2026-07-24,Anthropic,United States of America,API access,,Confident,Claude Opus 5,,Claude Opus 5 (xhigh)
claude-opus-5_high,161.54,2026-07-24,Anthropic,United States of America,API access,,Confident,Claude Opus 5,,Claude Opus 5 (high)
grok-4.6_medium,155.94,2026-08-12,xAI,United States of America,API access,,Confident,Grok 4.6,,Grok 4.6 (medium)
claude-fable-5_medium,162.49,2026-06-09,Anthropic,United States of America,API access,,Confident,Claude Fable 5,,Claude Fable 5 (medium)
gpt-5.6-sol_xhigh,161.08,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Sol,,GPT-5.6 Sol (xhigh)
claude-opus-5_medium,161.54,2026-07-24,Anthropic,United States of America,API access,,Confident,Claude Opus 5,,Claude Opus 5 (medium)
grok-4.6_low,155.94,2026-08-12,xAI,United States of America,API access,,Confident,Grok 4.6,,Grok 4.6 (low)
gpt-5.6-terra_xhigh,158.78,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Terra,,GPT-5.6 Terra (xhigh)
gemini-3.7-flash_medium,156.85,2026-08-13,Google DeepMind,United States of America,API access,,Confident,Gemini 3.7 Flash,,Gemini 3.7 Flash (medium)
gpt-5.6-luna_xhigh,156.22,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Luna,,GPT-5.6 Luna (xhigh)
claude-sonnet-5_high,155.9,2026-06-30,Anthropic,United States of America,API access,,Confident,Claude Sonnet 5,,Claude Sonnet 5 (high)
gpt-5.6-luna_high,156.22,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Luna,,GPT-5.6 Luna (high)
Composer 2.5,,2026-05-18,Cursor,United States of America,API access,3.87e+25,Likely,Composer 2.5,,Composer 2.5
gpt-5.6-terra_high,158.78,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Terra,,GPT-5.6 Terra (high)
gemini-3.7-flash_low,156.85,2026-08-13,Google DeepMind,United States of America,API access,,Confident,Gemini 3.7 Flash,,Gemini 3.7 Flash (low)
claude-sonnet-5_medium,155.9,2026-06-30,Anthropic,United States of America,API access,,Confident,Claude Sonnet 5,,Claude Sonnet 5 (medium)
gemini-3.6-flash_medium,154.2,2026-07-21,Google DeepMind,United States of America,API access,,Confident,Gemini 3.6 Flash,,Gemini 3.6 Flash (medium)
gpt-5.6-terra_medium,158.78,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Terra,,GPT-5.6 Terra (medium)
gpt-5.6-luna_medium,156.22,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Luna,,GPT-5.6 Luna (medium)
claude-sonnet-5_low,155.9,2026-06-30,Anthropic,United States of America,API access,,Confident,Claude Sonnet 5,,Claude Sonnet 5 (low)
blip2-opt-2.7b,,2023-02-06,Salesforce Research,United States of America,Open weights (unrestricted),1.20000000001e+21,Confident,BLIP-2 (Q-Former),,
text-davinci-001,,2022-01-27,OpenAI,United States of America,API access,3.19181e+23,Confident,InstructGPT 175B,,
Llama-2-13b,105.27,2023-07-18,Meta AI,United States of America,Open weights (restricted use),1.6e+23,Confident,Llama 2-13B,Meta's 13 billion-parameter model in the Llama 2 series of open source models.,
LLaMA-13B,99.54,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),7.8e+22,Confident,LLaMA-13B,Meta's 13 billion-parameter model in the original Llama series.,
Llama-2-7b,97.98,2023-07-18,Meta AI,United States of America,Open weights (restricted use),8.4e+22,Confident,Llama 2-7B,Meta's 7 billion-parameter model in the Llama 2 series of open source models.,
LLaMA-7B,95.56,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),4.00000001e+22,Confident,LLaMA-7B,Meta's smallest model in the original Llama series.,
Phi-3.5-vision-instruct,,2024-08-16,,,,,Unverified,,An multimodal version in Microsoft's Phi-3.5 series of open source models.,
MM1-3B-Chat,,2024-03-14,,,,,Unverified,,,
MM1-7B-Chat,,2024-03-14,,,,,Unverified,,,
llava-v1.6-vicuna-7b,,2024-01-31,,,,,Unverified,,,
llama3-llava-next-8b,,2024-04-20,,,,,Unverified,,,
Qwen-VL-Chat,,2023-08-20,,,,,Unverified,,,
gemini-1.0-pro-vision,,2024-01-04,Google DeepMind,United States of America,API access,,Unknown,Gemini 1.0 Pro Vision,A vision language model from Google DeepMind.,
falcon-11B-vlm,,2024-05-21,,,,,Unverified,,,
llava-v1.6-vicuna-13b,,2024-01-31,,,,,Unverified,,,
llava-v1.6-mistral-7b,,2024-01-31,,,,,Unverified,,,
instructblip-vicuna-7b,,2023-05-22,,,,,Unverified,,,
instructblip-vicuna-13b,,2023-12-25,,,,,Unverified,,,
InternVL-Chat-ViT-6B-Vicuna-7B,,2023-12-25,,,,,Unverified,,,
InternVL-Chat-ViT-6B-Vicuna-13B,,2024-08-16,,,,,Unverified,,,
llava-v1.5-7b,,2023-10-05,,,,,Unverified,,,
ml-elephant,,,,,,,Unverified,,,Zoo Ml-Ephant
claude-mythos-preview-early,,2026-04-07,Anthropic,United States of America,Unreleased,,Confident,Claude Mythos 5,,Claude Mythos Preview (Early)
gpt-5.5_unknown,158.67,2026-04-23,OpenAI,United States of America,API access,,Likely,GPT-5.5,,GPT-5.5 (unknown thinking)
claude-haiku-4-5-20251001_unknown,142.86,2025-10-15,Anthropic,United States of America,API access,,Unknown,Claude Haiku 4.5,,Claude Haiku 4.5 (unknown thinking)
MiniMax-M2.7,145.91,2026-03-18,MiniMax,China,Open weights (non-commercial),,Confident,MiniMax-M2.7,,
gpt-oss-120b,140.54,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),4.94e+24,Confident,gpt-oss-120b,The larger one of OpenAI's two latest open source language models.,
kimi-k3_unknown,157.49,2026-07-16,Moonshot,China,Open weights (non-commercial),2.0001e+25,Speculative,Kimi K3,,Kimi K3 (unknown)
gemini-3.5-flash_medium,154.45,2026-05-19,Google,United States of America,API access,,Confident,Gemini 3.5 Flash,,Gemini 3.5 Flash
mistral-medium-2604,142.48,2026-04-28,Mistral AI,France,Open weights (restricted use),,Confident,Mistral Medium 3.5,,Mistral Medium 3.5
laguna-m.1,,2026-04-28,Poolside,United States of America,,,Unverified,Laguna M.1,,Laguna M.1
trinity-large-thinking,,2026-04-01,Arcee AI,United States of America,,,Unverified,Trinity Large Thinking,,Trinity Large Thinking
muse-spark-1.1_high,154.37,2026-07-09,Meta AI,United States of America,API access,,Confident,Muse Spark 1.1,,Muse Spark 1.1 (high)
qwen3.8-27b_xhigh,,2026-08-14,Alibaba,China,Open weights (unrestricted),,Confident,Qwen 3.8 27B,,Qwen3.8 27B (xhigh)
ada,,,OpenAI,United States of America,,6.41e+20,Confident,GPT-3 Medium,,
babbage,,2020-06-22,OpenAI,United States of America,,2.38e+21,Confident,GPT-3 XL,,
Baichuan-2-7B-Base,95.17,2023-09-20,Baichuan,China,Open weights (restricted use),1.092e+23,Confident,Baichuan 2-7B,,
Baichuan-2-13B-Base,102.22,2023-09-06,Baichuan,China,Open weights (restricted use),2.03e+23,Confident,Baichuan2-13B,,
bloom,,2022-07-06,"Hugging Face,BigScience","United States of America,France",Open weights (restricted use),3.65664e+23,Confident,BLOOM-176B,,
Cerebras-GPT-13B,81.79,2023-03-20,Cerebras Systems,United States of America,Open weights (unrestricted),2.3e+22,Confident,Cerebras-GPT-13B,,
chatglm2-6b,,2023-06-24,,,,,Unverified,,,
curie,,,OpenAI,United States of America,,1.2e+22,Confident,GPT-3 6.7B,,
davinci,,,OpenAI,United States of America,API access,3.14e+23,Confident,GPT-3 175B (davinci),,
DeepSeek-V2,124.33,2024-05-07,DeepSeek,China,Open weights (restricted use),1.02e+24,Confident,DeepSeek-V2 (MoE-236B),,
dolly-v2-12b,88.36,2023-04-11,Databricks,United States of America,Open weights (unrestricted),,Confident,Dolly 2.0-12b,,
falcon-7b,93.92,2023-04-24,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),6.3e+22,Confident,Falcon-7B,The 7 billion-parameter model in the Falcon series.,
falcon-40b,103.51,2023-03-15,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),2.4e+23,Confident,Falcon-40B,The 40 billion-parameter model in the Falcon series.,
falcon-180B,111.4,2023-09-06,Technology Innovation Institute,United Arab Emirates,Open weights (restricted use),3.76e+24,Confident,Falcon-180B,The 180 billion-parameter model in the Falcon series.,
falcon-11b,108.73,2024-05-09,Technology Innovation Institute,United Arab Emirates,Open weights (restricted use),3.6e+23,Confident,Falcon 2 11B,,Falcon 2-11B
gemma-2b,93.0,2024-02-21,Google DeepMind,United States of America,Open weights (restricted use),4.5115822e+22,Confident,Gemma 2B,Google's 2 billion-parameter model in the Gemma series of open source models.,
gemma-7b,111.24,2024-02-21,Google DeepMind,United States of America,Open weights (restricted use),3.07e+23,Confident,Gemma 7B,Google's 7 billion-parameter model in the Gemma series of open source models.,
GLaM (MoE),,2021-12-13,Google,United States of America,Unreleased,3.6363112434e+23,Confident,GLaM,,
Gopher (280B),,2021-12-08,DeepMind,United Kingdom of Great Britain and Northern Ireland,Unreleased,6.31e+23,Confident,Gopher (280B),A 280 billion-parameter model from DeepMind in 2021.,
text-davinci-003,,2022-11-28,,,,,Likely,GPT-3.5 (davinci-003),,
gpt-4-32k-0314,125.75,2023-03-14,OpenAI,United States of America,API access,2.1e+25,Likely,GPT-4 (Mar 2023),,
gpt-j-6b,,2021-08-05,"EleutherAI,LAION","Germany,United States of America",Open weights (unrestricted),1.5e+22,Confident,GPT-J-6B,,
gpt-neo-2.7B,,2023-03-30,EleutherAI,United States of America,Open weights (unrestricted),7.9e+21,Confident,GPT-Neo-2.7B,,
gpt-neox-20b,,2022-04-07,EleutherAI,United States of America,Open weights (unrestricted),9.31627008e+22,Confident,GPT-NeoX-20B,,
gpt2-xl,,2019-11-05,OpenAI,United States of America,Open weights (unrestricted),1.920000000001e+21,Speculative,GPT-2 (1.5B),"The largest version of GPT-2, OpenAI's second generation transformer-based large pretrained language model.",
INTELLECT-1-Instruct,99.82,2024-11-29,"Prime Intellect,Hugging Face,Arcee AI",United States of America,,6.000001e+22,Confident,INTELLECT-1,,
internlm-7b,,2023-07-05,,,,,Unverified,,,
internlm-20b,,2023-09-18,,,,,Unverified,,,
Llama-2-70b-hf ,113.25,2023-07-18,Meta AI,United States of America,Open weights (restricted use),8.1e+23,Confident,Llama 2-70B,A chat-optimized of a 70 billion-parameter model in the Llama 2 series.,
LLaMA-33B,106.54,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),2.7300000000001e+23,Confident,LLaMA-33B,Meta's 33 billion-parameter model in the original Llama series,
LLaMA-65B,109.37,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),5.5e+23,Confident,LLaMA-65B,Meta's largest model in the original Llama series.,
Llama-3.1-405B,128.75,2024-07-23,Meta AI,United States of America,Open weights (restricted use),3.8e+25,Confident,Llama 3.1-405B,The 405 billion-parameter model in Meta’s LLaMA 3.1 series.,
Megatron-Turing NLG 530B,,2022-01-28,"Microsoft,NVIDIA",United States of America,Unreleased,8.586e+23,Confident,Megatron-Turing NLG 530B,,
Mistral-7B-v0.1,111.46,2023-09-27,Mistral AI,France,Open weights (unrestricted),,Confident,Mistral 7B,,
Mixtral-8x7B-v0.1,117.75,2023-12-11,Mistral AI,France,Open weights (unrestricted),7.74e+23,Speculative,Mixtral 8x7B,,
mpt-7b,93.4,2023-05-05,MosaicML,United States of America,Open weights (unrestricted),4.2e+22,Confident,MPT-7B,,
Nemotron-4 15B,106.86,2024-02-26,NVIDIA,United States of America,Unreleased,7.5005116e+23,Confident,Nemotron-4 15B,A 15 billion-parameter language model trained by Nvidia.,
open_llama_7b,,2023-06-07,,,,,Unverified,,,
opt-66b,,2022-05-03,Meta AI,United States of America,Open weights (non-commercial),1.100000000001e+23,Confident,OPT-66B,Facebook's 66 billion-parameter model in the OPT series.,
opt-175b,,2022-05-02,Meta AI,United States of America,Open weights (non-commercial),4.3e+23,Confident,OPT-175B,Facebook's 66 billion-parameter model in the OPT series.,
opt-1.3b,,2022-05-11,Meta AI,United States of America,Open weights (non-commercial),,Confident,OPT-1.3B,,
opt-13b,,2022-05-11,,,,,Unverified,,,
PaLM 2-L,,2023-05-17,,,,,Unverified,,DeepMind's largest model in the PaLM 2 series.,
PaLM 2-M,,2023-05-17,,,,,Unverified,,DeepMind's mid-sized model in the PaLM 2 series.,
PaLM 2-S,,2023-05-17,,,,,Unverified,,DeepMind's smallest model in the PaLM 2 series.,
PaLM 540B,,2022-04-04,Google Research,United States of America,Unreleased,2.5272e+24,Confident,PaLM (540B),Google's largest model in the PaLM series.,
phi-1_5,90.29,2023-09-11,Microsoft,United States of America,Open weights (unrestricted),1.17e+21,Confident,Phi-1.5,,
phi-2,107.06,2023-12-12,Microsoft,United States of America,Open weights (unrestricted),2.27e+22,Confident,Phi-2,,
Phi-3-mini-4k-instruct,116.73,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),7.524e+22,Confident,phi-3-mini 3.8B,A 4 billion-parameter model in Microsoft's Phi-3 open source model series with a 4000-token context length.,
Phi-3-small-8k-instruct,121.32,2024-04-23,Microsoft,United States of America,Open weights (unrestricted),2.1312e+23,Confident,phi-3-small 7.4B,A 7 billion-parameter model in Microsoft's Phi-3 open source model series with a 8000-token context length.,
Qwen2.5-72B,128.79,2024-09-19,Alibaba,China,Open weights (unrestricted),7.8e+24,Confident,Qwen2.5-72B,A 72 billion-parameter model in the Qwen 2.5 series.,
Qwen2.5-Coder-0.5B,,2024-09-18,,,,,Unverified,,Qwen's 500 million-parameter model in the Qwen 2.5 Coder series of open source models.,
Qwen2.5-Coder-1.5B,102.0,2024-09-18,Alibaba,China,Open weights (unrestricted),5.082e+22,Confident,Qwen2.5-Coder (1.5B),Qwen's 1.5 billion-parameter model in the Qwen 2.5 Coder series of open source models.,
Qwen2.5-Coder-3B,,2024-09-18,,,,,Unverified,,Qwen's 3 billion-parameter model in the Qwen 2.5 Coder series of open source models.,
Qwen2.5-Coder-7B,112.41,2024-09-18,Alibaba,China,Open weights (unrestricted),2.5113e+23,Confident,Qwen2.5-Coder (7B),Qwen's 7 billion-parameter model in the Qwen 2.5 Coder series of open source models.,
Qwen2.5-Coder-14B,,2024-09-18,,,,,Unverified,,Qwen's 14 billion-parameter model in the Qwen 2.5 Coder series of open source models.,
Qwen2.5-Coder-32B,118.91,2024-09-18,Alibaba,China,Open weights (unrestricted),1.0725e+24,Confident,Qwen2.5-Coder (32B),Qwen's 32 billion-parameter model in the Qwen 2.5 Coder series of open source models.,
RedPajama-INCITE-7B-Base,,2023-05-04,,,,,Unverified,,,
StableBeluga2,116.49,2023-07-20,Stability AI,United Kingdom of Great Britain and Northern Ireland,Open weights (non-commercial),,Likely,Stable Beluga 2,,
stablelm-tuned-alpha-7b,,2023-04-19,,,,,Unverified,,,
text-ada-001,,,OpenAI,United States of America,,,Confident,InstructGPT 350M,,
text-babbage-001,,,OpenAI,United States of America,API access,,Confident,InstructGPT 1.3B,,
text-curie-001,,,OpenAI,United States of America,API access,,Confident,InstructGPT 6B,,
text-davinci-002,,2022-03-15,OpenAI,United States of America,API access,2.578e+24,Speculative,GPT-3.5 (davinci-002),,
vicuna-13b-v1.1,,2023-04-12,,,,,Unverified,,,
xgen-7b-8k-base,92.19,2023-06-27,Salesforce,United States of America,Open weights (unrestricted),8.02e+22,Confident,XGen-7B,,
Yi-6B,103.83,2023-11-02,01.AI,China,Open weights (restricted use),1.26e+23,Confident,Yi 6B,,
Yi-9B,,2024-03-01,,,,,Unverified,,,
claude-opus-5_unknown,161.54,2026-07-24,Anthropic,United States of America,API access,,Confident,Claude Opus 5,,Claude Opus 5 (unknown)
claude-fable-5_unknown,162.49,2026-06-09,Anthropic,United States of America,API access,,Confident,Claude Fable 5,,Claude Fable 5 (unknown)
grok-4.5_unknown,153.94,2026-07-08,xAI,United States of America,API access,,Likely,Grok 4.5,,Grok 4.5 (unknown thinking)
gpt-5.6-sol_unknown,161.08,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Sol,,GPT-5.6 Sol (unknown thinking)
claude-sonnet-4-6_unknown,152.17,2026-02-17,Anthropic,United States of America,API access,,Likely,Claude Sonnet 4.6,,Claude Sonnet 4.6 (unknown thinking)
gpt-5.4-2026-03-05_unknown,156.5,2026-03-05,OpenAI,United States of America,API access,,Likely,GPT-5.4,,GPT-5.4
claude-opus-4-7_unknown,155.98,2026-04-16,Anthropic,United States of America,API access,,Likely,Claude Opus 4.7,,Claude Opus 4.7 (unknown)
muse-spark-1.1,154.37,2026-07-09,Meta AI,United States of America,API access,,Confident,Muse Spark 1.1,,Muse Spark 1.1
grok-build-0.1,,2026-05-29,xAI,United States of America,API access,,Confident,Grok Build 0.1,,Grok Build 0.1
glm-5.2_unknown,152.14,2026-06-16,Z.ai (Zhipu AI),China,Open weights (unrestricted),,Confident,GLM-5.2,,GLM-5.2
T5-Base,,,,,,,Unverified,,"A version of T5, an early large language model from Google. ",
Switch-Base,,,,,,,Unverified,,,
T5-Large,,,,,,,Unverified,,"A version of T5, an early large language model from Google. ",
Switch-Large,,,,,,,Unverified,,,
T5-Small,,,,,,,Unverified,,"The smallest version of T5, an early large language model from Google. ",
T5-3B,,,Google,United States of America,Open weights (unrestricted),9.0000000001e+21,Confident,T5-3B,"The 3 billion-parameter version of T5, an early large language model from Google. ",
T5-11B,,,Google,United States of America,Open weights (unrestricted),3.3e+22,Confident,T5-11B,"The largest, 11 billion-parameter version of T5, an early large language model from Google. ",
gpt-oss-120b_high,140.54,2025-08-05,OpenAI,United States of America,Open weights (unrestricted),4.94e+24,Confident,gpt-oss-120b,"The larger one of OpenAI's two latest open source language models, evaluated with high reasoning effort.",
Qwen3-235B-A22B,139.48,2025-04-29,Alibaba,China,Open weights (unrestricted),4.752e+24,Likely,Qwen3-235B-A22B,,
DeepSeek-V3.2-Exp,144.86,2025-09-29,DeepSeek,China,Open weights (unrestricted),4.18e+24,Confident,DeepSeek-V3.2-Exp,,
DeepSeek-V3.2-Exp_thinking,144.86,2025-09-29,DeepSeek,China,Open weights (unrestricted),4.18e+24,Confident,DeepSeek-V3.2-Exp,,
openhands-lm-32b-v0.1,,2024-03-26,,,,,Unverified,,,
o3-pro-2025-06-10_high,147.44,2025-06-10,OpenAI,United States of America,API access,,Unknown,o3-pro,"An enhanced version of OpenAI's previous flagship reasoning model o3, evaluated with high reasoning effort.",
gemini-2.5-pro-preview-06-05_32K,145.79,2025-06-05,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Pro (Jun 2025),"A June 2025 preview version of Gemini 2.5 Pro, Google DeepMind's flagship frontier model, evaluated with up to 32,000 reasoning tokens.",Gemini 2.5 Pro Preview (Jun 2025)
gemini-2.5-flash-preview-05-20_23K,142.17,2025-05-20,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash,"A May 2025 preview version of Gemini 2.5 Flash, a small model in Google DeepMind's Gemini 2.5 series, evaluated with up to 23,000 reasoning tokens.",
claude-opus-4-20250514_32K,142.92,2025-05-22,Anthropic,United States of America,API access,,Unknown,Claude Opus 4,"Anthropic's largest model in the Claude 4 series (superseded by Claude Opus 4.1), benchmarked with up to 32,000 reasoning tokens.",Claude Opus 4
Qwen3-32B,,2025-04-29,Alibaba,China,Open weights (unrestricted),7.0848e+24,Confident,Qwen3-32B,The 32 billion-parameter model in the Qwen 3 series.,
Llama-4-Maverick-17B-128E-Instruct,132.84,2025-04-05,Meta AI,United States of America,Open weights (restricted use),2.244000000001e+24,Likely,Llama 4 Maverick,The 17 billion active (400 billion total)-parameter model in Meta's Llama 4 series.,Llama 4 Maverick
chatgpt-4o-03-27-2025,,2025-03-27,OpenAI,United States of America,API access,,Speculative,GPT-4o,"A version of GPT-4o that was behind the ChatGPT interface, released in March 2025.",
Qwen2.5-Coder-32B-Instruct,,2024-11-21,Alibaba,China,Open weights (unrestricted),1.0725e+24,Confident,Qwen2.5-Coder (32B),An instruction-tuned and coding-optimized 32 billion-parameter model in the Qwen 2.5 series.,
gemini-exp-1206,134.96,2024-12-06,"Google DeepMind,Google",United States of America,API access,,Unknown,Gemini 2.0 Flash,"A December 2024 experimental version of Gemini 2.0 Flash, a small langauge model from Google DeepMind.",
QwQ-32B,,2025-03-05,Alibaba,China,Open weights (unrestricted),3.51e+24,Speculative,QwQ-32B,,
c4ai-command-a-03-2025,,2025-03-13,Cohere,Canada,Open weights (non-commercial),,Confident,Cohere Command A,,
gemini-2.0-flash-exp,134.96,2024-12-11,"Google DeepMind,Google",United States of America,API access,,Unknown,Gemini 2.0 Flash,"A December 2024 experimental version of Gemini 2.0 Flash, a small langauge model from Google DeepMind.",
DeepSeek-V2.5,,2024-09-06,DeepSeek,China,Open weights (restricted use),1.7892e+24,Confident,DeepSeek-V2.5,,
chatgpt-4o-01-29-2025,,2025-01-29,OpenAI,United States of America,API access,,Speculative,GPT-4o,"A version of GPT-4o that was behind the ChatGPT interface, released in January 2025.",
codestral-2501,,2025-01-13,Mistral AI,France,Open weights (non-commercial),,Confident,Codestral,A January 2025 version of a 2024 coding-optimized model from Mistral.,
yi-lightning,,2024-12-02,01.AI,China,API access,1.5e+24,Confident,Yi-Lightning,,
o1-mini-2024-09-12_unknown,136.47,2024-09-12,OpenAI,United States of America,API access,,Unknown,o1-mini,"A smaller version of OpenAI’s first reasoning model, o1, evaluated with high reasoning effort.",o1-mini (unknown thinking)
Qwen3-235B-A22B-Instruct-2507,138.87,2025-07-25,Alibaba,China,Open weights (unrestricted),4.752e+24,Likely,Qwen3-235B-A22B (Jul 2025),A 22 billion active (235 billion total)-parameter mixture-of-experts instruction-tuned model in the Qwen 3 series.,
o3-2025-04-16_unknown,147.0,2025-04-16,OpenAI,United States of America,API access,,Unknown,o3,"OpenAI's second generation o-series reasoning model, evaluated with high reasoning effort.",o3 (unknown thinking)
grok-4-0709_high,146.83,2025-07-09,xAI,United States of America,API access,5.0000000000001e+26,Speculative,Grok 4,,
moonshotai/kimi-k2-0905,,2025-09-05,Moonshot,China,Open weights (restricted use),2.976e+24,Confident,Kimi K2,"A July 2025 preview version of Kimi K2 turbo, an updated version of Kimi K2.",Kimi K2 0905 (Novita)
claude-fable-5,162.49,2026-06-09,Anthropic,United States of America,API access,,Confident,Claude Fable 5,,Claude Fable 5
gemini-3.7-flash_unknown,156.85,2026-08-13,Google DeepMind,United States of America,API access,,Confident,Gemini 3.7 Flash,,Gemini 3.7 Flash (unknown)
gpt-5.2-2025-12-11_unknown,153.31,2025-12-11,OpenAI,United States of America,API access,,Unknown,GPT-5.2,,GPT-5.2 (unknown thinking)
gpt-5-2025-08-07_unknown,150.0,2025-08-07,OpenAI,United States of America,API access,6.6e+25,Speculative,GPT-5,"OpenAI's latest flagship frontier model, benchmarked using high reasoning effort.",GPT-5 (unknown thinking)
QwQ-32B (16K thinking),,2025-03-05,Alibaba,China,Open weights (unrestricted),3.51e+24,Speculative,QwQ-32B,,
gemini-2.5-flash-preview-04-17 (24K thinking),140.61,2025-04-17,Google DeepMind,United States of America,API access,,Unknown,Gemini 2.5 Flash,"An April 2025 preview version of Gemini 2.5 Flash, a small reasoning model in the Gemini 2.5 series from DeepMind, evaluated with up to 24,000 reasoning tokens.",
Qwen3-30B-A3B,,2025-04-29,Alibaba,China,Open weights (unrestricted),6.48e+23,Likely,Qwen3-30B-A3B,,
qwen2.5-max,133.2,2025-01-28,Alibaba,China,API access,,Unknown,Qwen2.5-Max,The largest model in the Qwen 2.5 series.,
amazon.nova-pro-v1:0,123.61,2024-12-03,Amazon,United States of America,API access,6.000010000000001e+24,Speculative,Amazon Nova Pro,,
o3-pro-2025-06-10_medium,147.44,2025-06-10,OpenAI,United States of America,API access,,Unknown,o3-pro,"An enhanced version of OpenAI's previous flagship reasoning model o3, evaluated with medium reasoning effort.",
grok-4.6_unknown,155.94,2026-08-12,xAI,United States of America,API access,,Confident,Grok 4.6,,Grok 4.6 (unknown)
swe-1.7,,2026-07-08,Cognition,United States of America,,,Confident,SWE-1.7,,SWE-1.7
gpt-5.6-terra_unknown,158.78,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Terra,,GPT-5.6 Terra (unknown thinking)
gpt-5.6-luna_unknown,156.22,2026-07-09,OpenAI,United States of America,API access,,Confident,GPT-5.6 Luna,,GPT-5.6 Luna (unknown thinking)
gemini-3.6-flash_unknown,154.2,2026-07-21,Google DeepMind,United States of America,API access,,Confident,Gemini 3.6 Flash,,Gemini 3.6 Flash
gpt-5.4-mini-2026-03-17_unknown,149.29,2026-03-17,OpenAI,United States of America,API access,,Likely,GPT-5.4 Mini,,GPT-5.4 mini (unknown thinking)
deepseek-v4-flash-0731_unknown,154.43,2026-07-31,DeepSeek,China,Open weights (unrestricted),2.496e+24,Likely,DeepSeek V4 Flash 0731,,DeepSeek V4 Flash 0731 (unknown)
Inkling,148.77,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),1.845e+24,Likely,Inkling,,Inkling
swe-1.6,,2026-04-07,Cognition,United States of America,Hosted access (no API),,Confident,SWE-1.6,,SWE-1.6
gpt-5.1-codex-max,150.16,2025-11-19,OpenAI,United States of America,API access,,Unknown,GPT-5.1-Codex-Max,,GPT-5.1-Codex-Max
gpt-5.2-codex,,2025-12-18,OpenAI,United States of America,API access,,Likely,GPT-5.2 Codex,,GPT-5.2 Codex
gpt-5.3-codex,155.61,2026-02-05,OpenAI,United States of America,API access,,Likely,GPT-5.3 Codex,,GPT-5.3 Codex
MiniMax-M2.5,146.67,2026-02-12,MiniMax,China,Open weights (unrestricted),,Likely,MiniMax-M2.5,,
MiniMax-M2.1,,2025-12-23,MiniMax,China,Open weights (restricted use),,Confident,MiniMax-M2.1,,
kimi-k2-thinking,145.94,2025-11-06,Moonshot,China,Open weights (restricted use),4.1999999999999997e+24,Likely,Kimi K2 Thinking,,Kimi K2 Thinking
qwen3.8-max_unknown,156.43,2026-08-02,Alibaba,China,API access,,Confident,Qwen 3.8 Max,,Qwen3.8 Max (unknown)
